1637943457.167603000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.133.232	6	56883	443	dl.discordapp.net
1637943457.171599000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.136.232	6	45203	443	discord.com
1637943459.065602000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.133.234	6	55558	443	gateway.discord.gg
1637943459.151602000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.99	6	56747	443	crashlyticsreports-pa.googleapis.com
1637943467.227605000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.129.235	6	59452	443	rotterdam2033.discord.media
1637943470.200609000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.130.233	6	60937	443	cdn.discordapp.com
1637943475.249612000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.138.234	6	49839	443	latency.discord.media
1637943476.397609000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.164	6	36526	443	www.google.com
1637943641.730688000	eth:ethertype:ip:tcp:tls	192.168.20.103	216.58.205.68	6	52632	443	www.google.com
1637943961.574832000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.164	6	36787	443	www.google.com
1637944374.996034000	eth:ethertype:ip:tcp:tls	192.168.20.103	162.159.135.232	6	39463	443	discord.com
